Category,Sub-Category,Example Question,Answer
Academic Matters,Timetable & Calendar,Will classes be replaced if there’s a public holiday?,Lecturers usually arrange replacement classes.
Academic Matters,Timetable & Calendar,When is the mid-semester break?,It is shown in the academic calendar.
Academic Matters,Timetable & Calendar,How do I know which classroom my lecture is in?,It is listed in your timetable.
Academic Matters,Timetable & Calendar,What time do classes usually start?,"Most classes begin in the morning, depending on schedule."
Academic Matters,Timetable & Calendar,How do I check for timetable clashes?,The portal will show a conflict warning during registration.
Academic Matters,Timetable & Calendar,Can I request a timetable change?,Only under special circumstances through your faculty.
Academic Matters,Timetable & Calendar,When is study week?,It is listed in the academic calendar.
Academic Matters,Timetable & Calendar,How long is a typical lecture session?,Most sessions last 1–3 hours depending on the course.
Academic Matters,Timetable & Calendar,Why is my timetable empty?,You may not have registered for courses yet.
Academic Matters,Timetable & Calendar,When are lab sessions held?,Lab times are shown in your registered timetable.
Academic Matters,Timetable & Calendar,When are tutorial sessions scheduled?,They are included in your official timetable.
Academic Matters,Timetable & Calendar,How do I check if a class is cancelled?,Lecturers usually inform through email or MS Teams.
Academic Matters,Timetable & Calendar,When is the add/drop week?,It is listed in the academic calendar.
Academic Matters,Timetable & Calendar,Can I have evening classes?,Some courses may schedule sessions in the evening.
Academic Matters,Timetable & Calendar,Why did my class venue change?,Venue changes are updated by the faculty or lecturer.
Academic Matters,Timetable & Calendar,How do I view the full academic schedule?,You can find it on the UTP official website.
Academic Matters,Timetable & Calendar,When do exam weeks start?,Check the final exam timetable.
Academic Matters,Timetable & Calendar,How long is the semester?,Typically around 14 weeks of classes.
Academic Matters,Timetable & Calendar,When is the final week of classes?,Check your academic calendar for the date.
Academic Matters,Timetable & Calendar,Can I have classes on weekends?,Some replacement classes may occur on weekends.
Academic Matters,Timetable & Calendar,Who updates the timetable?,It is managed by the academic department.
Academic Matters,Timetable & Calendar,How do I check for special holidays?,They are listed in the academic calendar.
Academic Matters,Timetable & Calendar,Why is one of my classes missing from the timetable?,It may not be assigned a venue yet.
Academic Matters,Timetable & Calendar,When do exam timetables release?,Typically a few weeks before the exam period.
Academic Matters,Timetable & Calendar,How do I confirm replacement classes?,Lecturers usually provide the updated schedule.
Academic Matters,Timetable & Calendar,Will the timetable change after registration?,It may change if the faculty updates venue or time.
Campus Facilities,Library (IRC),What are the opening hours for the IRC?,The IRC is usually open daily; check the official schedule for exact hours.
Campus Facilities,Library (IRC),How do I book a discussion room in the IRC?,You can book rooms through the IRC booking system online.
Campus Facilities,Library (IRC),Can I borrow books from the IRC?,"Yes, just use your student ID to borrow books at the counter."
Campus Facilities,Library (IRC),How many books can I borrow at one time?,The borrowing limit depends on your student status.
Campus Facilities,Library (IRC),How long can I borrow a book?,Loan duration varies by material type.
Campus Facilities,Library (IRC),What happens if I return a book late?,You may be charged a late fee.
Campus Facilities,Library (IRC),How do I renew borrowed books?,You can renew them through the online library system.
Campus Facilities,Library (IRC),Does the IRC have e-books?,"Yes, the IRC provides access to various digital resources."
Campus Facilities,Library (IRC),Can I access digital journals from home?,"Yes, log in with your student credentials."
Campus Facilities,Library (IRC),Where can I find past exam papers?,Some past papers are available on the IRC portal.
Campus Facilities,Library (IRC),Is printing available in the IRC?,"Yes, printing services are available for students."
Campus Facilities,Library (IRC),Does the IRC provide scanning services?,"Yes, scanners are available for student use."
Campus Facilities,Library (IRC),Where is the silent study area?,It is located on the upper floor of the IRC.
Campus Facilities,Library (IRC),Are food and drinks allowed in the IRC?,"Typically, only water is allowed; food is prohibited."
Campus Facilities,Library (IRC),Can I bring visitors into the IRC?,Access is restricted to UTP students and staff only.
Campus Facilities,Library (IRC),How do I search for a book?,Use the online library catalog.
Campus Facilities,Library (IRC),Do I need an account to access digital journals?,"Yes, use your UTP login credentials."
Campus Facilities,Library (IRC),Is Wi-Fi available in the library?,"Yes, campus Wi-Fi covers the IRC area."
Campus Facilities,Library (IRC),Can I reserve a seat?,Seat reservations are not usually offered.
Campus Facilities,Library (IRC),Where can I get help finding a book?,Approach the IRC help desk.
Campus Facilities,Library (IRC),Are group discussions allowed inside the IRC?,Only in designated discussion rooms.
Campus Facilities,Library (IRC),How do I check my loan history?,Log in to the library system to view it.
Campus Facilities,Library (IRC),Can I request a book that is currently borrowed?,"Yes, you can place a reservation."
Campus Facilities,Library (IRC),Does the IRC have newspaper archives?,"Yes, both physical and digital newspapers are available."
Campus Facilities,Labs & Classrooms,Where is Block 13 located?,Block 13 is located within the academic buildings area.
Campus Facilities,Labs & Classrooms,How do I find my classroom?,Check your timetable for block and room number.
Campus Facilities,Labs & Classrooms,Are labs open on weekends?,Some labs may open upon request or special approval.
Campus Facilities,Labs & Classrooms,Where can I find the computer labs?,They are located in various academic blocks.
Campus Facilities,Labs & Classrooms,How do I request access to a lab?,Contact your lecturer or lab technician.
Campus Facilities,Labs & Classrooms,Can I use labs outside of class hours?,Only with permission from lab staff.
Campus Facilities,Labs & Classrooms,Where is the Chancellor Hall?,It is located near the main campus entrance.
Campus Facilities,Labs & Classrooms,How do I check if a lab is free?,Some schedules are posted; ask the lab technician.
Campus Facilities,Labs & Classrooms,Are classrooms air-conditioned?,"Yes, most rooms are air-conditioned."
Campus Facilities,Labs & Classrooms,How do I report a broken chair or equipment?,Inform the faculty office or lab staff.
Campus Facilities,Labs & Classrooms,Can I book a classroom for club activities?,"Yes, through the student activities office."
Campus Facilities,Labs & Classrooms,Where can I find lecture halls?,They are located in designated academic blocks.
Campus Facilities,Labs & Classrooms,How do I know my lab group?,It is assigned by your lecturer or shown in the portal.
Campus Facilities,Labs & Classrooms,Can I charge my laptop in the classroom?,"Yes, classrooms usually have power outlets."
Campus Facilities,Labs & Classrooms,Are projectors available in lecture rooms?,"Yes, most rooms are equipped with projectors."
Campus Facilities,Labs & Classrooms,How do I report a faulty projector?,Inform the lecturer or technical support.
Campus Facilities,Labs & Classrooms,Where is the exam hall?,The location is stated in the exam timetable.
Campus Facilities,Labs & Classrooms,Are labs supervised by staff?,"Yes, lab technicians are usually present."
Campus Facilities,Labs & Classrooms,Can I print in the computer lab?,Some labs offer printing services.
Campus Facilities,Labs & Classrooms,Are whiteboards available?,"Yes, most classrooms have whiteboards."
Campus Facilities,Labs & Classrooms,Do classrooms have Wi-Fi?,"Yes, campus Wi-Fi covers academic blocks."
Campus Facilities,Labs & Classrooms,Where is Block B?,It is part of the main academic building cluster.
Campus Facilities,Labs & Classrooms,Can I enter labs without safety gear?,"No, safety gear is required for specific labs."
Campus Facilities,Labs & Classrooms,How do I request a lab assistant’s help?,Approach the technician on duty.
Campus Facilities,Labs & Classrooms,Are lab coats provided?,Some departments provide them; others require personal purchase.
Campus Facilities,Labs & Classrooms,Where can I find the engineering labs?,They are located in the engineering blocks.
Campus Facilities,Labs & Classrooms,Are classrooms cleaned daily?,"Yes, facilities staff maintain them regularly."
Campus Facilities,Labs & Classrooms,How do I get access to specialized equipment?,Your lecturer must approve your request.
Campus Facilities,Labs & Classrooms,Where do tutorials usually take place?,In assigned classrooms listed on your timetable.
Campus Facilities,General Facilities,Where is the nearest surau located?,Surau facilities are available across campus blocks.
Campus Facilities,General Facilities,Is the gym open today?,Check the latest operating hours posted by the sports unit.
Campus Facilities,General Facilities,Where can I print documents on campus?,Printing shops are available in the academic and commercial areas.
Campus Facilities,General Facilities,Where is the swimming pool?,It is located near the sports complex.
Campus Facilities,General Facilities,How do I book the sports hall?,You can book through the sports unit office.
Campus Facilities,General Facilities,Are there vending machines on campus?,"Yes, vending machines are located in many buildings."
Campus Facilities,General Facilities,Where is the cafeteria?,It is located in multiple spots across campus.
Campus Facilities,General Facilities,Is there a convenience store in UTP?,"Yes, there are convenience stores in the commercial area."
Campus Facilities,General Facilities,Where are the student lounges?,They can be found in selected academic buildings.
Campus Facilities,General Facilities,How do I access the prayer rooms?,Most prayer rooms are open to all students.
Campus Facilities,General Facilities,Where is the bus pickup area?,Check the designated shuttle pickup points.
Campus Facilities,General Facilities,Are ATMs available on campus?,"Yes, ATMs are located in the commercial center."
Campus Facilities,General Facilities,Where is the health center?,The UTP Clinic is near the residential area.
Campus Facilities,General Facilities,How do I use the laundry facilities?,Coin-operated machines are available in residential villages.
Campus Facilities,General Facilities,Are microwaves available for students?,Some cafes provide microwaves for use.
Campus Facilities,General Facilities,Is there a study space outside the library?,"Yes, many academic blocks have open study areas."
Campus Facilities,General Facilities,Where can I refill my water bottle?,Water dispensers are placed around campus.
Campus Facilities,General Facilities,Does the campus have outdoor seating areas?,"Yes, several shaded seating spaces are available."
Campus Facilities,General Facilities,Where is the parking area?,Parking zones are located across campus.
Campus Facilities,General Facilities,Can I use the sports field?,"Yes, it is open to students unless reserved."
Campus Facilities,General Facilities,Are there prayer facilities for women?,"Yes, each surau has separate prayer spaces."
Campus Facilities,General Facilities,Where do I top up my printing account?,You can top up at printing shops.
Campus Facilities,General Facilities,Does the campus have a lost and found center?,"Yes, the security office manages lost and found items."
Campus Facilities,General Facilities,Where can I buy stationery on campus?,The bookstore and convenience shops sell stationery.
Campus Facilities,General Facilities,Is there a bike rack on campus?,"Yes, bicycle parking is available in several locations."
Campus Facilities,General Facilities,Where can I sit and study outdoors?,Some benches and tables are provided around the lake and walkways.
Campus Facilities,General Facilities,Are water coolers available in academic blocks?,"Yes, most blocks have water dispensers."
Campus Facilities,General Facilities,Can I access the multipurpose hall?,It requires booking through the student office.
Campus Facilities,General Facilities,Where is the football field?,It is located near the sports complex.
Campus Facilities,General Facilities,Where can I dispose of recyclables?,Recycling bins are placed across campus.
Campus Facilities,General Facilities,Is there a shuttle stop near the library?,"Yes, a stop is located close to the library area."
Campus Facilities,General Facilities,How do I find the lecture theater?,Check your timetable for the block and room code.
Campus Facilities,General Facilities,Are there resting pods in UTP?,Some study areas have comfortable seating for rest.
Campus Facilities,General Facilities,Where can I heat my food?,Some cafeterias provide microwaves.
Campus Facilities,General Facilities,Are water dispensers free for use?,"Yes, they are free for all students."
Campus Facilities,General Facilities,How do I access the student recreation center?,Show your student ID at the entrance.
Campus Facilities,General Facilities,Is there a place to study 24/7?,Some study areas may be open late; check availability.
Campus Facilities,General Facilities,Where can I find the campus map?,It is available on the UTP website and information boards.
Campus Facilities,General Facilities,How do I report facility damage?,Inform the facilities management unit.
Campus Facilities,General Facilities,Are lockers available for students?,Some blocks may offer lockers for temporary use.
Campus Facilities,General Facilities,Where can I buy food after 10 PM?,Some cafés and vending machines remain open late.
Campus Facilities,General Facilities,Is there a charging station for devices?,"Yes, some study areas have charging ports."
Campus Facilities,General Facilities,Where is the nearest toilet?,Toilets are located on each floor of academic blocks.
Campus Facilities,General Facilities,How do I access the multipurpose sports courts?,Book through the sports unit.
Campus Facilities,General Facilities,Where is the lake area?,It is located at the center of the campus.
Campus Facilities,General Facilities,Are umbrella-sharing racks available?,Some areas provide umbrella stands.
Campus Facilities,General Facilities,Does the campus have wheelchair access?,"Yes, ramps and lifts are available in most buildings."
Accommodation,General Inquiries,How do I apply for on-campus accommodation?,Apply through the UTP accommodation portal.
Accommodation,General Inquiries,When does accommodation application open?,Dates are announced by the Residential Unit.
Accommodation,General Inquiries,Can I choose my room?,You can select options based on availability.
Accommodation,General Inquiries,How much is the fee for Village 1?,The rates are listed on the accommodation website.
Accommodation,General Inquiries,Are single rooms available?,"Yes, but limited and subject to availability."
Accommodation,General Inquiries,Can I request to stay with a friend?,"Yes, you can request a roommate during application."
Accommodation,General Inquiries,How do I check my room assignment?,Room assignments appear in the accommodation portal.
Accommodation,General Inquiries,When can I check into my room?,Check-in dates are provided before each semester.
Accommodation,General Inquiries,Can I stay in the village during semester break?,Limited stay is allowed with approval.
Accommodation,General Inquiries,How do I extend my stay?,Submit a stay extension request to the accommodation office.
Accommodation,General Inquiries,Where do I collect my room key?,Collect it at the village office during check-in.
Accommodation,General Inquiries,Can I move to another room?,Room change requests must be approved by management.
Accommodation,General Inquiries,How do I know my village number?,Your assigned village is shown in the portal.
Accommodation,General Inquiries,Are first-year students guaranteed accommodation?,"Usually yes, depending on availability."
Accommodation,General Inquiries,Can I stay off-campus?,"Yes, students may choose to stay off-campus."
Accommodation,General Inquiries,How do I appeal for housing if slots are full?,Submit an appeal form to the accommodation office.
Accommodation,General Inquiries,Can I choose a lower floor room?,Requests are subject to availability.
Accommodation,General Inquiries,Is Wi-Fi provided in hostels?,"Yes, campus Wi-Fi covers residential villages."
Accommodation,General Inquiries,Is parking available for residents?,Parking spaces are available near the villages.
Accommodation,General Inquiries,Are there shops in the residential area?,"Yes, convenience stores and cafes are nearby."
Accommodation,General Inquiries,Are visitors allowed?,Visitor access is limited and regulated.
Accommodation,General Inquiries,How do I update my personal details?,Update your profile in the student portal.
Accommodation,General Inquiries,Can I stay in the same room next semester?,You may apply for room continuation.
Accommodation,General Inquiries,Where can I find the village office?,Each village has its own management office.
Accommodation,General Inquiries,How many people share a room?,Most rooms are shared by two students.
Accommodation,General Inquiries,Are mattresses provided?,"Yes, basic furniture is included."
Accommodation,General Inquiries,Can I bring my own furniture?,Only small personal items are allowed.
Accommodation,General Inquiries,Is there a curfew?,Residential gates usually close at specific hours.
Accommodation,General Inquiries,Can I cancel my accommodation?,"Yes, submit a cancellation request to management."
Accommodation,General Inquiries,Is there a shuttle bus nearby?,"Yes, shuttle stops are located near villages."
Accommodation,General Inquiries,Are laundry machines provided?,"Yes, each village has self-service laundry."
Accommodation,General Inquiries,Can I request a female-only room?,"Yes, gender-based room assignments are provided."
Accommodation,General Inquiries,Can I return to the hostel late at night?,Entry is allowed but subject to gate operating hours.
Accommodation,General Inquiries,How do I report lost items?,Submit a report to the village office or security.
Accommodation,General Inquiries,Are the villages wheelchair accessible?,Some villages have accessible facilities.
Accommodation,General Inquiries,Can final-year students stay on-campus?,"Yes, subject to available rooms."
Accommodation,General Inquiries,How do I get help after office hours?,Contact the on-duty warden or security.
Accommodation,General Inquiries,Are there student lounges in the villages?,"Yes, common areas are available for residents."
Accommodation,General Inquiries,Can I bring my bicycle?,"Yes, bicycle racks are available."
Accommodation,General Inquiries,How do I apply for room swapping?,Submit a request form to the accommodation office.
Accommodation,General Inquiries,Where can I find the accommodation rules?,The rules are provided in the student handbook.
Accommodation,General Inquiries,Are pillows provided?,Students must bring their own pillows and bedding.
Accommodation,General Inquiries,Can first-year students stay off-campus?,It depends on university policy.
Accommodation,General Inquiries,How do I know if my room is ready?,You will be notified through official email.
Accommodation,Maintenance & Services,How do I report a broken fan?,Use the online maintenance request system.
Accommodation,Maintenance & Services,My air conditioner is not working; what should I do?,File a maintenance report through the portal.
Accommodation,Maintenance & Services,Who fixes electrical issues in my room?,The maintenance team handles electrical repairs.
Accommodation,Maintenance & Services,How long do repairs usually take?,It depends on issue severity and team availability.
Accommodation,Maintenance & Services,How do I request room cleaning?,"Cleaning is scheduled, but you may request extra."
Accommodation,Maintenance & Services,My door lock is faulty. What should I do?,Report it to the village office immediately.
Accommodation,Maintenance & Services,Who do I contact during emergencies?,Contact the warden or campus security.
Accommodation,Maintenance & Services,The toilet is clogged. How do I report it?,Submit a maintenance request.
Accommodation,Maintenance & Services,The lights in my room are not working.,Report it via the maintenance system.
Accommodation,Maintenance & Services,Where can I borrow cleaning tools?,Some villages provide shared cleaning equipment.
Accommodation,Maintenance & Services,Who maintains the laundry machines?,The facilities team manages laundry repairs.
Accommodation,Maintenance & Services,How do I report pest problems?,Inform the village office for pest control service.
Accommodation,Maintenance & Services,Can I request a room inspection?,"Yes, ask the village staff to arrange one."
Accommodation,Maintenance & Services,My roommate damaged a furniture item. What now?,Report it to the village office for assessment.
Accommodation,Maintenance & Services,What if my room has water leakage?,File a maintenance request as soon as possible.
Accommodation,Maintenance & Services,Who is in charge of village facilities?,The residential services team manages them.
Accommodation,Maintenance & Services,How do I know the repair status?,Check the status in the maintenance portal.
Accommodation,Maintenance & Services,Is Wi-Fi maintenance included?,Wi-Fi issues are handled by ICT services.
Accommodation,Maintenance & Services,How do I request mattress replacement?,Submit a request through the residential office.
Accommodation,Maintenance & Services,Who cleans the common areas?,The housekeeping team handles common spaces.
Accommodation,Maintenance & Services,My room is too cold/hot. What can I do?,Adjust the air conditioning or report if faulty.
Accommodation,Maintenance & Services,How often is housekeeping done?,Cleaning schedules vary by village.
Accommodation,Maintenance & Services,The water heater isn’t working.,File a maintenance report immediately.
Accommodation,Maintenance & Services,How do I report noise complaints?,Contact the warden or village office.
Accommodation,Maintenance & Services,Can I request a room repaint?,Only for justified maintenance reasons.
Accommodation,Maintenance & Services,Is the lift maintained regularly?,"Yes, it follows a scheduled maintenance plan."
Accommodation,Maintenance & Services,What if the lift breaks down?,Report to the village office or security.
Accommodation,Maintenance & Services,How do I request bed replacement?,Submit the request to the residential unit.
Accommodation,Maintenance & Services,Who handles plumbing issues?,The facilities and maintenance team.
Accommodation,Rules,Are visitors allowed in the rooms?,Visitor access is limited to designated hours.
Accommodation,Rules,Can I cook inside my room?,Cooking is restricted to pantry areas.
Accommodation,Rules,Are pets allowed?,"No, pets are strictly prohibited."
Accommodation,Rules,What are the quiet hours?,Quiet hours are usually at night; check village rules.
Accommodation,Rules,Can I decorate my room?,"Yes, but avoid damaging walls or furniture."
Accommodation,Rules,Is smoking allowed in the village?,Smoking is prohibited in all rooms.
Accommodation,Rules,Can I bring an electric kettle?,Only approved electrical appliances are allowed.
Accommodation,Rules,What happens if I damage property?,You may be charged a repair fee.
Accommodation,Rules,Can I stay out past curfew?,Residential gates follow specific closing hours.
Accommodation,Rules,Is alcohol allowed in the room?,"No, alcohol is strictly prohibited on campus."
Accommodation,Rules,Can I use loudspeakers?,Keep volume low to avoid disturbing others.
Accommodation,Rules,What happens if I lose my room key?,Report it and request a key replacement.
Accommodation,Rules,Can I host overnight guests?,Overnight guest stays are not permitted.
Accommodation,Rules,Are there rules for using laundry rooms?,"Yes, follow posted guidelines."
Accommodation,Rules,Can I use candles or incense?,No open flames are allowed for safety reasons.
Accommodation,Rules,Can I bring a mini-fridge?,Only if allowed under the appliance guidelines.
Accommodation,Rules,What happens during room inspection?,Staff check cleanliness and rule compliance.
Accommodation,Rules,Am I allowed to rearrange furniture?,"Yes, if no damage is caused."
Accommodation,Rules,Can I leave belongings during holidays?,Only if you have approved stay or storage options.
Accommodation,Rules,What if my roommate breaks rules?,Report it to the warden if necessary.
Accommodation,Rules,Can I hang clothes outside the window?,It is usually not allowed.
Accommodation,Rules,Is gaming equipment allowed?,"Yes, if it does not disturb others."
Accommodation,Rules,What happens if I violate hostel rules?,Disciplinary action may be taken.
Accommodation,Rules,Can I bring a hot plate?,Hot plates are not allowed in rooms.
Accommodation,Rules,Are bicycles allowed inside rooms?,"No, bicycles must be stored outside."
Accommodation,Rules,Can I stay in another room temporarily?,Only with approval from village staff.
Accommodation,Rules,Are room checks done regularly?,"Yes, inspections occur periodically."
Financial Services,Fees,How do I pay my tuition fees online?,You can pay through the Student Portal using online banking.
Financial Services,Fees,When is the deadline for fee payment?,The deadline is stated in your financial statement.
Financial Services,Fees,Can I pay my fees in installments?,"Yes, installment plans are available for eligible students."
Financial Services,Fees,How do I check my outstanding balance?,Check your financial statement in the Student Portal.
Financial Services,Fees,What are the payment methods accepted?,Online banking and selected bank transfers are accepted.
Financial Services,Fees,How do I get my payment receipt?,Download it from the Student Portal after payment.
Financial Services,Fees,What happens if I don’t pay my fees on time?,You may face late penalties or registration holds.
Financial Services,Fees,Can my parents pay the fees on my behalf?,"Yes, anyone can make the payment using your details."
Financial Services,Fees,Is there a penalty for late payment?,"Yes, late fees may be charged."
Financial Services,Fees,How do I request a fee breakdown?,You can find it in your financial section in the student portal.
Financial Services,Fees,How do I update my billing information?,Contact the finance office for updates.
Financial Services,Fees,Do international students pay different fees?,"Yes, fee amounts vary for international students."
Financial Services,Fees,Can I get a refund for overpayment?,"Yes, submit a refund request to the finance office."
Financial Services,Fees,Are there extra fees for lab subjects?,Some courses may include additional charges.
Financial Services,Fees,How do I check if my payment was successful?,It will reflect immediately in your portal once processed.
Financial Services,Fees,How do I contact the finance department?,Use the official finance support email or hotline.
Financial Services,Fees,Can I pay through credit card?,Check the portal for available payment options.
Financial Services,Fees,Where can I see the fee structure?,It is published on the UTP website and portal.
Financial Services,Fees,Are hostel fees paid together with tuition fees?,"Yes, both appear in your student financial statement."
Financial Services,Fees,Can I delay my fee payment?,You may apply for a payment extension.
Financial Services,Fees,Are there penalties for bounced transactions?,"Yes, additional charges may apply."
Financial Services,Fees,How do I print my financial statement?,It can be downloaded from your student portal.
Financial Services,Fees,How do I check past payments?,Payment history is available in your portal.
Financial Services,Fees,Are there additional fees for exam resits?,Some exam types may require payment.
Financial Services,Fees,What should I do if the fee amount looks wrong?,Report the issue to the finance office for verification.
Financial Services,Fees,Can I request financial assistance?,"Yes, you may apply through the scholarship or welfare units."
Financial Services,Fees,Do I have to pay registration fees every semester?,"Yes, each semester includes specific mandatory charges."
Financial Services,Fees,How do I pay for lost student ID fees?,Pay through the finance counter or approved method.
Financial Services,Fees,Can I pay my hostel fee separately from tuition?,"Yes, both can be paid individually."
Financial Services,Fees,Do part-time students pay different fees?,Fee structures vary based on study mode.
Financial Services,Fees,Where do I check my fee due dates?,They are listed in the financial breakdown.
Financial Services,Fees,How do I know if my scholarship covers full fees?,Check your sponsorship offer letter.
Financial Services,Fees,What are miscellaneous fees?,"They include charges like library, IT, and activity fees."
Financial Services,Fees,Can I appeal for fee reduction?,Some cases allow appeals; check with finance.
Financial Services,Fees,How do I pay hostel deposit fees?,It is included in your accommodation charges.
Financial Services,Fees,Are there fees for dropping a course?,Most drops during add/drop are free.
Financial Services,Fees,Are exam remarking fees charged?,"Yes, remarking usually requires a fee."
Financial Services,Fees,Can I get a payment extension due to financial issues?,Submit a written request to finance.
Financial Services,Fees,How do I know if my payment went through?,It will appear in your online statement.
Financial Services,Fees,Who should I contact if the payment portal is down?,Report the issue to ICT or finance support.
Financial Services,Fees,Can I pay fees in cash?,Some payments may allow cash at the finance counter.
Financial Services,Fees,How do I apply for fee exemption?,Only specific programs qualify for exemptions.
Financial Services,Fees,Can I use PTPTN loan to pay my fees?,"Yes, PTPTN funds can cover tuition fees."
Financial Services,Fees,Where do I submit my payment proof?,Upload it through the student portal if required.
Financial Services,Fees,Are hostel electricity charges included?,Basic utilities are usually included.
Financial Services,Fees,How do I check if my sponsor has paid my fees?,Check your account balance in the portal.
Financial Services,Fees,Do I need to pay for orientation?,Orientation fees are included in admission costs.
Financial Services,Fees,Can I pay using e-wallet?,Check the portal for available methods.
Financial Services,Sponsorships & Loans,How do I apply for the YTP scholarship?,Apply through the sponsor’s official website.
Financial Services,Sponsorships & Loans,Where do I submit PTPTN documents?,Submit them through the PTPTN online system.
Financial Services,Sponsorships & Loans,What scholarships are offered in UTP?,UTP offers internal and external sponsorships.
